trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,4,5.663006762017514,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1,18,1,2,0,0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,0,-53.74046040066079,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0,19,2,3,0,1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,8,7.380077772560989,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,16,-5.200098673283473,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1,8,0,0,1,0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",30,13,-103.8597004331989,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 3}",1,13,1,0,0,3
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,0,-75.23274216207224,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0,14,1,3,1,1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,22.873542000708788,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0,19,1,0,0,0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",30,10,-103.46369931790788,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",1,15,2,0,0,3
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",25,0,-38.90220595252673,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0,19,1,4,1,0
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",20,5,-61.900304559598425,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1,10,0,4,0,1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,0,-53.215306565448685,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0,26,1,0,2,1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",30,21,7.172846132868228,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1,8,1,0,0,0
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",35,9,3.747699008373718,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 0}",1,23,0,3,0,0
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-28.96844169356234,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,0,18.581491259154898,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0,19,0,1,0,0
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",25,0,-93.44881401612754,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0,18,2,3,0,2
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",20,0,23.59198593556248,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,20,0,0,0,0
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",25,0,-53.085629814543694,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0,21,0,2,1,1
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",20,6,-0.6325885413878283,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1,12,0,2,0,0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,10,10.328472410259955,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1,9,1,0,0,0
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",25,4,-12.888593449282052,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 0}",1,17,2,1,1,0
103,False,"{'a': 0.5, 'e': 0.355160814705073}",30,0,-73.32788316766845,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0,24,0,4,1,1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",30,0,-157.18713455109713,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0,21,0,5,1,3
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,0,-26.57650545069564,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0,16,0,3,1,0
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",25,0,-95.46897318223999,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0,21,1,0,0,3
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,0,11.497930282048982,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0,23,0,2,0,0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",30,10,12.385745428853195,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1,18,0,2,0,0
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,2,-18.621371431469353,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1,14,1,3,0,0
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",30,0,-8.405477946268782,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0,25,2,3,0,0
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",30,0,-89.45941778920383,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",1,26,1,0,0,3
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",30,13,-23.982458856369135,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1,13,0,3,1,0
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",30,0,-12.17632833694189,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0,28,0,1,0,1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,3,12.638536155007612,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1,16,0,1,0,0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,11,12.641521749388577,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,16,-9.331985872435034,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1,7,0,2,0,0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,3,-11.719379360802307,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 0}",1,22,2,3,0,0
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,0,-32.39637365258134,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0,15,1,3,1,0
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",25,9,6.485695119559735,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1,14,0,2,0,0
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,0,-59.99722562335133,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0,17,1,0,0,2
121,False,"{'a': 0.5, 'e': 0.296386587399208}",25,0,-37.41773531460562,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0,21,0,3,0,1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",20,0,4.62514931171489,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0,18,0,2,0,0
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,0,-10.330434136950563,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0,16,1,3,0,0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",25,0,-43.1876220493026,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0,21,1,2,0,1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",30,20,-3.828481133824049,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1,9,0,0,1,0
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,0,-27.64559747273206,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0,15,2,2,1,0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",25,5,-0.17697959009020003,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1,17,1,2,0,0
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,13,14.126812120112472,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,7,0,0,0,0
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",20,6,15.598097931451523,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1,13,0,1,0,0
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,16,9.101122799253663,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,4,0,0,0,0
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",30,0,-16.994598431948496,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0,26,1,1,2,0
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,0,-17.029610299559113,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0,18,1,0,0,1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,3,3.257685522459359,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1,15,1,1,0,0
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",30,22,15.106196681084208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,8,-1.5795549200468928,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1,10,1,1,0,0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,0,-19.959806377151107,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0,18,1,0,0,1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",25,13,24.555597481387892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,12,0,0,0,0
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",20,9,0.9781162832899637,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1,9,1,1,0,0
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",30,8,24.43115272447489,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1,21,0,1,0,0
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,8,9.142656849108684,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,16,7.449589883827798,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,4,0,0,0,0
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,10,-8.870127677774223,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1,13,0,1,1,0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",30,15,22.484634618025233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,15,0,0,0,0
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",20,12,12.977923437303339,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,0,-35.02454421180799,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0,17,1,1,0,1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,8,8.166355610995788,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,12,24.566564164791817,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,9,3.6405857983366507,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1,14,0,2,0,0
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",20,15,10.327277120262483,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1,5,0,0,0,0
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",25,0,6.897132551504127,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0,23,0,1,1,0
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",30,15,7.618012679030654,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1,13,1,1,0,0
