trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
178,False,"{'a': 0.5, 'e': 0.40974000909221314}",20,7,-42.741460232962474,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1,11,0,0,1,1
179,False,"{'a': 0.5, 'e': 0.40769130904675205}",20,2,-14.792586819313659,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1,17,0,0,0,1
180,False,"{'a': 0.5, 'e': 0.4056528525015183}",20,10,8.374378768245638,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
181,False,"{'a': 0.5, 'e': 0.4036245882390107}",25,13,-46.332332743292845,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1,10,0,0,1,1
182,False,"{'a': 0.5, 'e': 0.40160646529781563}",25,19,11.252885394901915,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
183,False,"{'a': 0.5, 'e': 0.3995984329713266}",20,0,-70.52918056469605,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0,15,0,3,1,1
184,False,"{'a': 0.5, 'e': 0.39760044080646995}",20,0,-41.79849072811335,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0,16,1,2,0,1
185,False,"{'a': 0.5, 'e': 0.39561243860243755}",25,0,-23.088503464208166,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0,22,0,2,0,1
186,False,"{'a': 0.5, 'e': 0.3936343764094254}",20,15,12.03890620858029,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1,5,0,0,0,0
187,False,"{'a': 0.5, 'e': 0.39166620452737827}",30,14,0.218202599929612,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1,14,0,2,0,0
188,False,"{'a': 0.5, 'e': 0.3897078735047414}",25,3,-37.275678309442725,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1,16,2,3,1,0
189,False,"{'a': 0.5, 'e': 0.38775933413721764}",30,8,-0.9777540246401668,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1,20,0,1,1,0
190,False,"{'a': 0.5, 'e': 0.38582053746653155}",20,16,8.563664058752192,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,4,0,0,0,0
191,False,"{'a': 0.5, 'e': 0.3838914347791989}",20,2,-45.75932922005997,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1,15,0,1,1,1
192,False,"{'a': 0.5, 'e': 0.38197197760530294}",25,16,12.162219429816204,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
193,False,"{'a': 0.5, 'e': 0.3800621177172764}",25,13,-0.00256985806906207,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1,11,0,0,1,0
194,False,"{'a': 0.5, 'e': 0.37816180712869}",25,2,2.3420570629101194,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1,20,1,2,0,0
195,False,"{'a': 0.5, 'e': 0.37627099809304654}",20,9,-21.95967618305739,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1,10,0,0,0,1
