trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
229,False,"{'a': 0.5, 'e': 0.3173112652388395}",20,8,-70.1208130090168,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1,7,2,1,1,1
230,False,"{'a': 0.5, 'e': 0.3157247089126453}",25,13,-0.32449504584915534,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1,10,0,2,0,0
231,False,"{'a': 0.5, 'e': 0.3141460853680821}",20,0,-124.84278128716153,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0,15,0,2,0,3
232,False,"{'a': 0.5, 'e': 0.31257535494124167}",25,6,14.617113376288149,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1,18,0,1,0,0
233,False,"{'a': 0.5, 'e': 0.3110124781665355}",30,13,19.206484722429234,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1,16,0,1,0,0
234,False,"{'a': 0.5, 'e': 0.3094574157757028}",30,16,-26.988004912531636,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1,12,0,1,0,1
235,False,"{'a': 0.5, 'e': 0.30791012869682427}",30,0,-1.9353291749910775,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",1,27,1,1,1,0
236,False,"{'a': 0.5, 'e': 0.30637057805334017}",20,0,19.566692754995785,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0,19,0,1,0,0
237,False,"{'a': 0.5, 'e': 0.3048387251630735}",25,13,-11.5335940775451,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1,10,0,1,1,0
238,False,"{'a': 0.5, 'e': 0.30331453153725807}",25,3,-9.049004526138894,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1,19,1,1,1,0
239,False,"{'a': 0.5, 'e': 0.3017979588795718}",25,13,3.8900758968210303,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
240,False,"{'a': 0.5, 'e': 0.30028896908517394}",30,20,13.946675209994723,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
241,False,"{'a': 0.5, 'e': 0.2987875242397481}",25,0,-32.0195584467846,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1,21,2,1,0,1
242,False,"{'a': 0.5, 'e': 0.2972935866185493}",20,0,-3.414781523911432,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0,18,1,0,1,0
